Date : 2025-04-09 14:22:33
Directory : /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project
Total : 113 files,  68139 codes, 635 comments, 9380 blanks, all 78154 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/logger.js                                                    | JavaScript         |         18 |          0 |          4 |         22 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/middleware/auth.js                                           | JavaScript         |         71 |          5 |         23 |         99 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/auth.js                                               | JavaScript         |         18 |          2 |          5 |         25 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/departmentChairRegistry.js                            | JavaScript         |         16 |          0 |          4 |         20 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/faculty.js                                            | JavaScript         |         52 |          0 |          4 |         56 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/facultyTagsList.js                                    | JavaScript         |         15 |          0 |          4 |         19 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/foapaRegistry.js                                      | JavaScript         |         27 |          0 |          4 |         31 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/reimbursement.js                                      | JavaScript         |         77 |          1 |          4 |         82 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/models/reimbursementMessages.js                              | JavaScript         |         14 |          0 |          4 |         18 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/package-lock.json                                            | JSON               |      4,432 |          0 |          1 |      4,433 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/package.json                                                 | JSON               |         45 |          0 |          1 |         46 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/pdfGenerator.js                                              | JavaScript         |        821 |         54 |         66 |        941 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/admin.js                                              | JavaScript         |         40 |          1 |          7 |         48 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/adminReimbursementInformation.js                      | JavaScript         |        457 |         15 |         96 |        568 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/auth.js                                               | JavaScript         |        392 |         23 |         68 |        483 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/dashboard.js                                          | JavaScript         |         41 |          5 |         12 |         58 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/foapaInformation.js                                   | JavaScript         |        252 |         52 |         67 |        371 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/geographyInformation.js                               | JavaScript         |         25 |          0 |          9 |         34 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/pdfInformation.js                                     | JavaScript         |        430 |         19 |         58 |        507 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/reimbursementInformation.js                           | JavaScript         |        488 |         30 |        105 |        623 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/routes/userInformation.js                                    | JavaScript         |        185 |          6 |         29 |        220 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/authenticatePassword.js                                | JavaScript         |         29 |          0 |          5 |         34 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/formatFoapaDetails.js                                  | JavaScript         |         10 |          0 |          2 |         12 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/generateRandomString.js                                | JavaScript         |          9 |          0 |          3 |         12 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/getDepartmentORGNumber.js                              | JavaScript         |         17 |          0 |          2 |         19 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/parseDate.js                                           | JavaScript         |         17 |          3 |          4 |         24 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/retrieveDate.js                                        | JavaScript         |         21 |          0 |          2 |         23 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/server/utils/updateFoapaDetails.js                                  | JavaScript         |         19 |          9 |          6 |         34 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/Dockerfile                                                       | Docker             |          8 |          8 |          8 |         24 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/Makefile                                                         | Makefile           |          5 |          0 |          2 |          7 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/index.html                                                       | HTML               |         23 |          1 |          1 |         25 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/package-lock.json                                                | JSON               |      6,027 |          0 |          1 |      6,028 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/package.json                                                     | JSON               |         53 |          0 |          1 |         54 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/postcss.config.js                                                | JavaScript         |          6 |          0 |          1 |          7 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/public/pdf.worker.js                                             | JavaScript         |     40,421 |         87 |      7,130 |     47,638 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/public/vite.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/App.vue                                                      | Vue                |         18 |          0 |          4 |         22 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/cross-icon.svg                                        | XML                |         10 |          1 |          0 |         11 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/account-page.css                               | CSS                |        274 |          2 |         44 |        320 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/add-foapa-page.css                             | CSS                |        234 |          5 |         34 |        273 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/add-reimbursement-page.css                     | CSS                |        514 |         17 |         88 |        619 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/contact-page.css                               | CSS                |        114 |         16 |         20 |        150 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/dashboard-page.css                             | CSS                |        403 |         10 |         65 |        478 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/login-page.css                                 | CSS                |        172 |          0 |         24 |        196 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/manage-foapa.css                               | CSS                |        182 |          5 |         29 |        216 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/styles/signup-page.css                                | CSS                |        391 |          3 |         75 |        469 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/assets/vue.svg                                               | XML                |          1 |          0 |          0 |          1 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/AdminAddEditNotes.vue                             | Vue                |        129 |          0 |         23 |        152 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ActivityContainer.vue           | Vue                |         77 |          2 |          7 |         86 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/AssignFoapaInformation.vue      | Vue                |        331 |          6 |         54 |        391 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/AssignFoapaInformationAdmin.vue | Vue                |        314 |          6 |         54 |        374 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/BalanceContainer.vue            | Vue                |         69 |          0 |         12 |         81 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ClaimInformation.vue            | Vue                |        120 |          0 |          5 |        125 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/Finish.vue                      | Vue                |        584 |          0 |         67 |        651 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/FoapaContainer.vue              | Vue                |         52 |          0 |          6 |         58 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/GuestInformation.vue            | Vue                |        186 |          5 |         14 |        205 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ManageExpenses.vue              | Vue                |        310 |          5 |         39 |        354 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/ManageReceipts.vue              | Vue                |        445 |          1 |         62 |        508 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/add-reimbursement/QuickAddPopup.vue               | Vue                |        292 |         12 |         38 |        342 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/admin/SummarySection.vue                          | Vue                |         32 |          0 |          3 |         35 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/DashboardLeftPanel.vue                  | Vue                |         31 |          1 |          4 |         36 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/DashboardRightPanel.vue                 | Vue                |        326 |         12 |         30 |        368 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/FeedbackPill.vue                        | Vue                |         15 |          0 |          3 |         18 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/FoapaNumbersList.vue                    | Vue                |         38 |          0 |          7 |         45 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardGrid.vue               | Vue                |        255 |          0 |         22 |        277 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardGridAdmin.vue          | Vue                |        522 |          4 |         54 |        580 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardList.vue               | Vue                |        156 |          0 |         11 |        167 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementCardTable.vue              | Vue                |        202 |          0 |         17 |        219 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/ReimbursementStatus.vue                 | Vue                |         36 |          0 |          4 |         40 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/SideNavigationBar.vue                   | Vue                |         68 |          0 |          7 |         75 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/dashboard/UserInformationSummary.vue              | Vue                |         95 |          0 |          9 |        104 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/manage-foapa/AddFoapaPopup.vue                    | Vue                |        411 |          0 |         45 |        456 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/signup-flow/AddressSection.vue                    | Vue                |        181 |          0 |         19 |        200 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/signup-flow/FoapaSection.vue                      | Vue                |         25 |          0 |          4 |         29 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/signup-flow/PasswordSection.vue                   | Vue                |        173 |          0 |         15 |        188 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/components/utilities/ConfirmationPopup.vue                   | Vue                |         45 |          2 |          3 |         50 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/main.ts                                                      | TypeScript         |         46 |          4 |          6 |         56 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/account_page.vue                                       | Vue                |        390 |         12 |         21 |        423 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/add_reimbursement_page.vue                             | Vue                |        344 |          4 |         38 |        386 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/admin_edit_reimbursement_page.vue                      | Vue                |        291 |          3 |         27 |        321 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/admin_page.vue                                         | Vue                |        330 |         41 |         41 |        412 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/admin_user_management.vue                              | Vue                |        320 |          0 |         31 |        351 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/contact_us_page.vue                                    | Vue                |         82 |         23 |          5 |        110 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/dashboard_page.vue                                     | Vue                |        168 |          0 |         33 |        201 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/forgot_password_page.vue                               | Vue                |        107 |          2 |          7 |        116 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/login_page.vue                                         | Vue                |        213 |          0 |         12 |        225 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/manage_foapa_details.vue                               | Vue                |        988 |          7 |        103 |      1,098 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/password_page.vue                                      | Vue                |        189 |          3 |         14 |        206 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/profile_page.vue                                       | Vue                |        111 |          5 |         16 |        132 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/review_request_page.vue                                | Vue                |        167 |          0 |         20 |        187 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/signup_page.vue                                        | Vue                |        238 |          0 |         15 |        253 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/signup_post_verification_page.vue                      | Vue                |        138 |         12 |         17 |        167 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/signup_pre_verification_page.vue                       | Vue                |        180 |          0 |         15 |        195 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/pages/specific_foapa_detail_page.vue                         | Vue                |        493 |          8 |         58 |        559 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/router/index.ts                                              | TypeScript         |        227 |          3 |          8 |        238 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/store/index.ts                                               | TypeScript         |         11 |          1 |          3 |         15 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/style.css                                                    | CSS                |        165 |         19 |         34 |        218 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/types/types.ts                                               | TypeScript         |        137 |          3 |         13 |        153 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/utils/formatFoapaDetails.ts                                  | TypeScript         |         11 |          0 |          3 |         14 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/utils/generateRandomId.ts                                    | TypeScript         |         16 |          0 |          3 |         19 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/utils/objectsAreEqual.ts                                     | TypeScript         |         14 |          4 |          6 |         24 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/utils/parseDate.ts                                           | TypeScript         |          7 |          3 |          2 |         12 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/utils/validators.ts                                          | TypeScript         |        205 |         27 |         43 |        275 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/src/vite-env.d.ts                                                | TypeScript         |          0 |          1 |          1 |          2 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/tailwind.config.js                                               | JavaScript         |         18 |          1 |          1 |         20 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/tsconfig.json                                                    | JSON with Comments |         21 |          0 |          1 |         22 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/tsconfig.node.json                                               | JSON               |          9 |          0 |          1 |         10 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/vercel.json                                                      | JSON               |          6 |          0 |          1 |          7 |
| /home/ara/Documents/Coding-Projects/UDM-Reimbursement-Project/ui/vite.config.ts                                                   | TypeScript         |          9 |          1 |          2 |         12 |
| Total                                                                                                                             |                    |     68,139 |        635 |      9,380 |     78,154 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
